Pulsar ID,Pulsar Class,Age,Period (P),Period Derivative (P˙),Magnetic Field (B),Initial Period (Pinit​),Initial B Field (Binit​),Galactic Longitude (l),Galactic Latitude (b),Distance,Dispersion Measure (DM),"Proper Motion (μl​,μb​)",Kick Velocity,Is Binary,Orbital Period (Pb​),Companion Mass (Mc​),Eccentricity (e),Radio Luminosity (L1400​),Single-Pulse Lum. Dist.,Radio Beaming Fraction,Viewing Angle (ζ),Inclination Angle (α),Nulling Fraction (NF)
J1823-3021B,,2.006187e+08,3.785965e-01,2.990000e-17,1.076648e+11,,,2.789714e+00,-7.916937e+00,8.020000e+00,8.701000e+01,,2.639159e+02,,,,,,,,,,
J1823-3021C,,2.871280e+07,4.059360e-01,2.240000e-16,3.051425e+11,,,2.789690e+00,-7.915361e+00,8.020000e+00,8.690000e+01,,2.639159e+02,,,,,,,,,,
J1823-3021D,,,3.020060e-03,,,,,2.787369e+00,-7.914026e+00,8.020000e+00,8.680000e+01,,2.639159e+02,,,,,,,,,,
J1823-3021E,,,4.394000e-03,,,,,2.775076e+00,-7.913745e+00,8.020000e+00,9.140000e+01,,2.639159e+02,,,,,,,,,,
J1823-3021F,,,4.850000e-03,,,,,2.788537e+00,-7.913999e+00,8.020000e+00,8.670000e+01,,2.639159e+02,,,,,,,,,,
J1823-3021G,,,6.091293e-03,-1.780985e-20,,,,2.789690e+00,-7.913627e+00,8.020000e+00,8.620600e+01,,2.639159e+02,DD,,,3.804660e-01,,,,,,
J1823-3021H,,,5.130000e-03,,,,,2.788226e+00,-7.913390e+00,8.020000e+00,8.685000e+01,,2.639159e+02,,,,,,,,,,
J1824-2452A,HE,2.989316e+07,3.054316e-03,1.618856e-18,2.250148e+09,,,7.796795e+00,-5.577649e+00,5.370000e+00,1.199069e+02,,2.272060e+02,,,,,,,,,,
J1824-2452B,,,6.547000e-03,,,,,7.798116e+00,-5.580384e+00,5.370000e+00,1.195000e+02,,2.272060e+02,,,,,,,,,,
J1824-2452C,,,4.159000e-03,,,,,7.798116e+00,-5.580384e+00,5.370000e+00,1.207000e+02,,2.272060e+02,BT,,,8.470000e-01,,,,,,
J1824-2452D,,,7.983200e-02,,,,,7.798116e+00,-5.580384e+00,5.370000e+00,1.195000e+02,,2.272060e+02,BT,,,7.760000e-01,,,,,,
J1824-2452E,,,5.420000e-03,,,,,7.798116e+00,-5.580384e+00,5.370000e+00,1.198000e+02,,2.272060e+02,,,,,,,,,,
J1824-2452F,,,2.451000e-03,,,,,7.798116e+00,-5.580384e+00,5.370000e+00,1.238000e+02,,2.272060e+02,,,,,,,,,,
J1824-2452G,,,5.909000e-03,,,,,7.798116e+00,-5.580384e+00,5.370000e+00,1.194000e+02,,2.272060e+02,BT,,,0.000000e+00,,,,,,
J1824-2452H,,,4.629000e-03,,,,,7.798116e+00,-5.580384e+00,5.370000e+00,1.215000e+02,,2.272060e+02,BT,,,0.000000e+00,,,,,,
J1824-2452I,HE,,3.931853e-03,0.000000e+00,,,,7.798272e+00,-5.579112e+00,5.370000e+00,1.190000e+02,,2.272060e+02,BT,,,0.000000e+00,,,,,,
J1824-2452J,,,4.039000e-03,,,,,7.798116e+00,-5.580384e+00,5.370000e+00,1.192000e+02,,2.272060e+02,BT,,,0.000000e+00,,,,,,
J1824-2452K,,,4.461000e-03,,,,,7.798116e+00,-5.580384e+00,5.370000e+00,1.198000e+02,,2.272060e+02,BT,,,1.524000e-03,,,,,,
J1824-2452L,,,4.100000e-03,,,,,7.798116e+00,-5.580384e+00,5.370000e+00,1.190000e+02,,2.272060e+02,BT,,,0.000000e+00,,,,,,
J1824-2452M,,6.171931e+08,4.784284e-03,1.228180e-19,7.756922e+08,,,7.799512e+00,-5.581255e+00,5.370000e+00,1.193520e+02,,2.272060e+02,ELL1,,,,,,,,,
J1824-2452N,,3.336692e+08,3.352872e-03,1.592087e-19,7.393362e+08,,,7.798525e+00,-5.581586e+00,5.370000e+00,1.193210e+02,,2.272060e+02,ELL1,,,,,,,,,
J1835-3259A,,,3.889000e-03,,,,,1.531854e+00,-1.137147e+01,9.460000e+00,6.335000e+01,,3.115778e+02,,,,,,,,,,
J1835-3259B,HE,6.678415e+08,1.830293e-03,4.342235e-20,2.852771e+08,,,1.533953e+00,-1.137618e+01,9.460000e+00,6.350830e+01,,3.115778e+02,ELL1,,,3.482815e-05,,,,,,
